submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours
4.57E+15,17-03-2021,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,,1,Every day,Irregularly
6.44E+15,29-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Miranda,,1,No,Irregularly
5.00E+15,18-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are not enough
5.52E+15,24-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are enough
5.03E+15,18-03-2021,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Miranda,,1,No,There are not enough
5.86E+15,15-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Miranda,,0,2 days,Irregularly
4.99E+15,31-03-2021,Female,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,1,Every day,There are not enough
6.30E+15,14-03-2021,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Miranda,,1,No,There are not enough
6.35E+15,23-03-2021,Female,Over 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am retired,Miranda,,1,No,Irregularly
5.85E+15,30-03-2021,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Sucre,,1,2 days,There are enough
4.86E+15,16-03-2021,Prefer not to answer,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some technical education (e.g polytechnic school),I am unemployed,Distrito Federal,,0,No,There are not enough
6.11E+15,14-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,,1,No,Irregularly
6.14E+15,07-02-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.83E+15,15-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Táchira,,1,No,Irregularly
5.24E+15,18-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Táchira,,0,No,Irregularly
5.28E+15,07-04-2021,Female,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Mérida,,1,No,Irregularly
6.15E+15,17-03-2021,Female,36 to 45 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am unemployed,Mérida,,1,No,There are not enough
6.08E+15,29-03-2021,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Mérida,,1,4 days,There are enough
6.73E+15,21-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Mérida,,1,No,Irregularly
5.75E+15,13-03-2021,Female,16 to 25 years old,Rural,"I can afford food, regular expenses, and clothes, but nothing else",Primary school completed,I am a student,Mérida,,1,No,There are not enough
5.31E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Mérida,,1,No,There are enough
5.87E+15,13-03-2021,Female,Over 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Mérida,,0,No,Irregularly
4.60E+15,28-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Primary school completed,I am a student,Carabobo,,0,No,Irregularly
5.61E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.59E+15,14-03-2021,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Distrito Federal,,0,No,There are not enough
5.50E+15,10-06-2021,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,There are not enough
